"Player","Season","Season Age","Gen. Role","Role","DAVIES","Box Activity","Shooting","Final Ball","Dribbles and Carries","Buildup Passing","Defense","Min","Team","League","Nation","League Gender"
"Mason Mount","2020-2021",21,"Creator","Wide Creator",0.12,0.02,0.04,0.02,0.01,0.03,0,2890,"Chelsea","Premier League","ENG","M"
"Timo Werner","2018-2019",22,"Finisher","Mobile Forward",0.12,0.03,0.1,0.01,0.01,-0.01,-0.01,2509,"RB Leipzig","Bundesliga","GER","M"
"Sergej Milinković-Savić","2017-2018",22,"Midfielder","Creative Midfielder",0.12,0.03,0.06,0.03,0,0.02,0,2844,"Lazio","Serie A M","SRB","M"
"Giovanni Di Lorenzo","2020-2021",26,"Wide Def","Progressive Wide Defender",0.12,0.01,0.02,0.01,0.01,0.07,0,3240,"Napoli","Serie A M","ITA","M"
"Moussa Dembélé","2021-2022",25,"Finisher","Target Forward",0.12,0.02,0.11,0.01,0,-0.01,0.01,2207,"Lyon","Ligue 1","FRA","M"
"Theo Hernández","2020-2021",22,"Wide Def","Aggressive Wide Defender",0.12,0.01,0.04,0.01,0.04,0.02,0,2933,"Milan","Serie A M","FRA","M"
"David Luiz","2018-2019",31,"Central Def","Progressive Central Defender",0.12,0,0.02,0.01,0.03,0.09,-0.01,3238,"Chelsea","Premier League","BRA","M"
"Joshua Kimmich","2019-2020",24,"Deep Midfielder","Playmaking Deep Midfielder",0.12,0,0.01,0.07,0.01,0.07,-0.01,2818,"Bayern Munich","Bundesliga","GER","M"
"Daniel Parejo","2018-2019",29,"Deep Midfielder","Playmaking Deep Midfielder",0.12,0.01,0.02,0.04,0,0.06,-0.01,3061,"Valencia","La Liga","ESP","M"
"Gerard Moreno","2019-2020",27,"Finisher","Progressive Forward",0.12,0,0.06,0.03,0.01,0.01,0.01,2744,"Villarreal","La Liga","ESP","M"
"Branco van den Boomen","2022-2023",27,"Midfielder","Creative Midfielder",0.12,0,0.01,0.04,0,0.09,-0.01,2888,"Toulouse","Ligue 1","NED","M"
"Sergej Milinković-Savić","2020-2021",25,"Midfielder","Creative Midfielder",0.12,0.02,0.07,0.02,0,0.01,0.01,2746,"Lazio","Serie A M","SRB","M"
"Houssem Aouar","2018-2019",20,"Midfielder","Mobile Midfielder",0.12,0.03,0.05,0,0.01,0.03,0,3061,"Lyon","Ligue 1","FRA","M"
"Aymeric Laporte","2018-2019",24,"Central Def","Progressive Central Defender",0.12,0,0.02,0,0.04,0.1,-0.03,3057,"Manchester City","Premier League","ESP","M"
"Wissam Ben Yedder","2022-2023",31,"Finisher","Progressive Forward",0.12,0.02,0.08,0.02,0.01,0.01,-0.01,2114,"Monaco","Ligue 1","FRA","M"
"Cristiano Ronaldo","2021-2022",36,"Finisher","Mobile Forward",0.12,0.02,0.09,0,0.01,0,0,2456,"Manchester Utd","Premier League","POR","M"
"Alexander Isak","2023-2024",23,"Finisher","Progressive Forward",0.12,0.01,0.07,0.01,0.02,0.01,-0.01,2255,"Newcastle Utd","Premier League","SWE","M"
"Joël Matip","2021-2022",29,"Central Def","Progressive Central Defender",0.12,0.01,0.02,0.01,0.03,0.06,-0.01,2790,"Liverpool","Premier League","CMR","M"
"Raheem Sterling","2020-2021",25,"Dribbler","Direct Dribbler",0.12,0.05,0.07,0.02,0.01,-0.01,-0.01,2536,"Manchester City","Premier League","ENG","M"
"Kevin Volland","2019-2020",27,"Finisher","Progressive Forward",0.12,0.02,0.07,0.03,0,0,-0.01,2047,"Leverkusen","Bundesliga","GER","M"
"Alexandre Lacazette","2017-2018",26,"Finisher","Mobile Forward",0.12,0.03,0.06,0.02,0.01,0,0,2202,"Arsenal","Premier League","FRA","M"
"Joaquín Correa","2019-2020",24,"Dribbler","Direct Dribbler",0.12,0.03,0.08,-0.01,0.02,0,-0.01,2002,"Lazio","Serie A M","ARG","M"
"Harry Maguire","2018-2019",25,"Central Def","Progressive Central Defender",0.12,0.02,0.02,0,0.02,0.07,0,2596,"Leicester City","Premier League","ENG","M"
"Martin Ødegaard","2019-2020",20,"Creator","Central Creator",0.12,0,0.03,0.03,0.02,0.04,-0.01,2527,"Real Sociedad","La Liga","NOR","M"
"Dayot Upamecano","2019-2020",20,"Central Def","Progressive Central Defender",0.12,0,0.01,0.01,0.02,0.09,0,2357,"RB Leipzig","Bundesliga","FRA","M"
"Lucas Ocampos","2017-2018",23,"Dribbler","Direct Dribbler",0.12,0.02,0.08,0,-0.01,0.01,0.03,2038,"Marseille","Ligue 1","ARG","M"
"Fernandinho","2018-2019",33,"Deep Midfielder","Defensive Deep Midfielder",0.12,0,0.01,0.02,0.02,0.06,0.01,2377,"Manchester City","Premier League","BRA","M"
"Lucas Martínez Quarta","2022-2023",26,"Central Def","Progressive Central Defender",0.12,0.01,0.03,0,0.01,0.06,0.02,2171,"Fiorentina","Serie A M","ARG","M"
"Lucas Martínez Quarta","2023-2024",27,"Central Def","Aggressive Central Defender",0.12,0.01,0.03,0.01,0.01,0.07,0.01,2291,"Fiorentina","Serie A M","ARG","M"
"Luis Suárez","2019-2020",32,"Finisher","Progressive Forward",0.12,0.02,0.11,0.01,0,-0.01,-0.01,1998,"Barcelona","La Liga","URU","M"
"Dani Olmo","2020-2021",22,"Creator","Central Creator",0.12,0.02,0.06,0.02,-0.01,0.02,-0.01,2194,"RB Leipzig","Bundesliga","ESP","M"
"Jack Grealish","2021-2022",25,"Dribbler","Direct Dribbler",0.12,0.05,0.02,0.02,0.04,0,0,1914,"Manchester City","Premier League","ENG","M"
"Christopher Nkunku","2020-2021",22,"Dribbler","Wide Dribbler",0.12,0.02,0.05,0.05,0,0.01,-0.01,1892,"RB Leipzig","Bundesliga","FRA","M"
"Roberto Gagliardini","2019-2020",25,"Midfielder","Mobile Midfielder",0.12,0.02,0.06,0,0.01,0.04,0,1797,"Inter","Serie A M","ITA","M"
"Wissam Ben Yedder","2017-2018",26,"Finisher","Progressive Forward",0.12,0.02,0.1,0.01,0.01,0,-0.01,1700,"Sevilla","La Liga","FRA","M"
"Gabriel Jesus","2021-2022",24,"Finisher","Progressive Forward",0.12,0.04,0.05,0.03,0.02,-0.01,0,1877,"Manchester City","Premier League","BRA","M"
"Serge Gnabry","2017-2018",22,"Dribbler","Direct Dribbler",0.12,0.03,0.06,0.01,0.02,0.01,0,1507,"Hoffenheim","Bundesliga","GER","M"
"João Félix","2023-2024",23,"Dribbler","Direct Dribbler",0.12,0.02,0.11,0,-0.01,0,0,1540,"Barcelona","La Liga","POR","M"
"Andrew Robertson","2023-2024",29,"Wide Def","Progressive Wide Defender",0.12,0.02,0.02,0.03,0.01,0.05,-0.01,1693,"Liverpool","Premier League","SCO","M"
"Anthony Martial","2017-2018",21,"Dribbler","Direct Dribbler",0.12,0.04,0.07,0.03,0.02,0,-0.01,1582,"Manchester Utd","Premier League","FRA","M"
"Yves Bissouma","2017-2018",20,"Midfielder","Mobile Midfielder",0.12,0,0.03,0,0.04,0.02,0.03,1561,"Lille","Ligue 1","MLI","M"
"Luis Muriel","2021-2022",30,"Dribbler","Direct Dribbler",0.12,0.03,0.07,0.04,0,0.01,-0.01,1539,"Atalanta","Serie A M","COL","M"
"Ángel Correa","2023-2024",28,"Finisher","Progressive Forward",0.12,0.04,0.03,0.03,0.01,0.01,0,1528,"Atlético Madrid","La Liga","ARG","M"
"Niklas Süle","2021-2022",25,"Central Def","Progressive Central Defender",0.12,0,0.02,0.01,0.01,0.1,-0.01,1837,"Bayern Munich","Bundesliga","GER","M"
"Thiago Alcántara","2020-2021",29,"Deep Midfielder","Playmaking Deep Midfielder",0.12,0,0.02,0.01,0.01,0.09,0,1854,"Liverpool","Premier League","ESP","M"
"Pedri","2023-2024",20,"Midfielder","Creative Midfielder",0.12,0.01,0.04,0.04,0.01,0.03,0,1476,"Barcelona","La Liga","ESP","M"
"Henrikh Mkhitaryan","2018-2019",29,"Creator","Two Way Creator",0.12,0.02,0.05,0.02,0.01,0,0.01,1641,"Arsenal","Premier League","ARM","M"
"Riyad Mahrez","2021-2022",30,"Dribbler","Wide Dribbler",0.12,0.05,0.09,0.02,0.01,-0.01,-0.01,1498,"Manchester City","Premier League","ALG","M"
"Marco Verratti","2020-2021",27,"Midfielder","Creative Midfielder",0.12,0.02,-0.01,0.02,0.02,0.09,0,1492,"Paris S-G","Ligue 1","ITA","M"
"Mats Hummels","2023-2024",34,"Central Def","Aggressive Central Defender",0.12,0,0.05,0.01,0,0.04,0.02,1581,"Dortmund","Bundesliga","GER","M"
"Lautaro Martínez","2018-2019",20,"Finisher","Mobile Forward",0.12,0.02,0.06,0.02,0,0.01,0,1344,"Inter","Serie A M","ARG","M"
"Ángel Di María","2021-2022",33,"Dribbler","Wide Dribbler",0.12,0.01,0.04,0.06,0.01,0.01,0,1645,"Paris S-G","Ligue 1","ARG","M"
"Raúl García","2022-2023",36,"Finisher","Progressive Forward",0.12,0.02,0.08,0,0,0.01,0.01,967,"Athletic Club","La Liga","ESP","M"
"Shinji Kagawa","2017-2018",28,"Creator","Central Creator",0.12,0.01,0.05,0.01,0,0.05,0,1166,"Dortmund","Bundesliga","JPN","M"
"Javier Ontiveros","2019-2020",21,"Dribbler","Direct Dribbler",0.12,0.02,0.08,0,0.03,0,0.01,889,"Villarreal","La Liga","ESP","M"
"Andrej Kramarić","2019-2020",28,"Dribbler","Direct Dribbler",0.12,0.01,0.1,0.01,0,0.02,-0.02,1422,"Hoffenheim","Bundesliga","CRO","M"
"Eden Hazard","2019-2020",28,"Dribbler","Direct Dribbler",0.12,0.04,0,0.03,0.05,0.01,-0.01,1077,"Real Madrid","La Liga","BEL","M"
"Giovani Lo Celso","2022-2023",26,"Creator","Central Creator",0.12,0.01,0.04,0.02,0,0.03,0.01,1126,"Villarreal","La Liga","ARG","M"
"Federico Valverde","2020-2021",22,"Midfielder","Mobile Midfielder",0.12,0.01,0.03,0.03,0.02,0.02,0,1330,"Real Madrid","La Liga","URU","M"
"Ansu Fati","2019-2020",16,"Dribbler","Direct Dribbler",0.12,0.05,0.06,0.01,0.01,-0.03,0,1027,"Barcelona","La Liga","ESP","M"
"Oleksandr Zinchenko","2021-2022",24,"Wide Def","Progressive Wide Defender",0.12,0.01,0.01,0.03,0.01,0.08,-0.01,1047,"Manchester City","Premier League","UKR","M"
"Marko Arnautović","2023-2024",34,"Finisher","Progressive Forward",0.12,0,0.07,0.04,0,0,0,801,"Inter","Serie A M","AUT","M"
"Ademola Lookman","2017-2018",19,"Dribbler","Direct Dribbler",0.12,0,0.09,0.02,0,0.03,-0.01,574,"RB Leipzig","Bundesliga","NGA","M"
"Vitinha","2023-2024",23,"Finisher","Mobile Forward",0.12,0.03,0.04,0.04,0,0.01,0.01,923,"Marseille","Ligue 1","POR","M"
"Charlie Austin","2017-2018",28,"Finisher","Target Forward",0.12,0,0.11,0,-0.01,0.01,0,1037,"Southampton","Premier League","ENG","M"
"Pierre-Emerick Aubameyang","2017-2018",28,"Finisher","Mobile Forward",0.12,0.01,0.09,0.01,0.03,-0.01,0,1057,"Arsenal","Premier League","GAB","M"
"Emil Holm","2023-2024",23,"Wide Def","Aggressive Wide Defender",0.12,0.04,0.1,0.01,0.01,-0.03,0.01,947,"Atalanta","Serie A M","SWE","M"
"Adrien Rabiot","2018-2019",23,"Deep Midfielder","Playmaking Deep Midfielder",0.12,0,0.03,0.01,0.04,0.04,0,1063,"Paris S-G","Ligue 1","FRA","M"
"Ben Davies","2023-2024",30,"Central Def","Progressive Central Defender",0.12,0.01,0.04,0,0.01,0.07,-0.01,1090,"Tottenham","Premier League","WAL","M"
"Myziane Maolida","2017-2018",18,"Dribbler","Direct Dribbler",0.12,0.03,0.08,0.02,0.02,0,0,331,"Lyon","Ligue 1","FRA","M"
"Marco Reus","2017-2018",28,"Dribbler","Direct Dribbler",0.12,0.03,0.09,0,0,0.02,-0.01,928,"Dortmund","Bundesliga","GER","M"
"Yusuf Yazıcı","2020-2021",23,"Creator","Wide Creator",0.12,0.03,0.11,0.03,-0.01,-0.04,-0.01,1086,"Lille","Ligue 1","TUR","M"
"Alexis Sánchez","2019-2020",30,"Creator","Wide Creator",0.12,0.03,0.05,0.05,-0.01,0.01,-0.01,923,"Inter","Serie A M","CHI","M"
"Filippo Ranocchia","2022-2023",21,"Midfielder","Creative Midfielder",0.12,-0.01,0.09,0,0.01,0.02,0,530,"Monza","Serie A M","ITA","M"
"Michy Batshuayi","2017-2018",23,"Finisher","Progressive Forward",0.12,0,0.14,-0.01,-0.01,0,0,839,"Dortmund","Bundesliga","BEL","M"
"Leandro Paredes","2022-2023",28,"Deep Midfielder","Playmaking Deep Midfielder",0.12,0,0.01,0.04,0,0.06,0.01,977,"Juventus","Serie A M","ARG","M"
"Jeremie Boga","2022-2023",25,"Creator","Wide Creator",0.12,0.02,0,0.05,0.07,0,-0.01,782,"Atalanta","Serie A M","CIV","M"
"Ibrahim Salah","2023-2024",21,"Dribbler","Wide Dribbler",0.12,-0.01,0.13,0.01,-0.02,-0.01,0.02,524,"Rennes","Ligue 1","MAR","M"
"Keita Baldé","2018-2019",23,"Finisher","Mobile Forward",0.12,0.01,0.04,0.04,0.04,-0.01,0,889,"Inter","Serie A M","SEN","M"
"Matheus Cunha","2019-2020",20,"Dribbler","Direct Dribbler",0.12,-0.01,0.1,-0.02,0.02,0.03,0,744,"Hertha BSC","Bundesliga","BRA","M"
"Denis Suárez","2017-2018",23,"Dribbler","Wide Dribbler",0.12,0.04,0.04,0.05,0.02,0,0,595,"Barcelona","La Liga","ESP","M"
"Almamy Touré","2020-2021",24,"Creator","Wide Creator",0.12,0.01,0.04,0.03,0.01,0,0.04,704,"Eint Frankfurt","Bundesliga","MLI","M"
"Renato Sanches","2022-2023",24,"Midfielder","Creative Midfielder",0.12,0.01,0.03,0.02,0.03,0.05,-0.02,717,"Paris S-G","Ligue 1","POR","M"
"Loïc Rémy","2017-2018",30,"Dribbler","Direct Dribbler",0.12,0.02,0.12,-0.03,0.02,-0.01,-0.02,766,"Las Palmas","La Liga","FRA","M"
"Jordan Nkololo","2017-2018",24,"Dribbler","Wide Dribbler",0.12,0.02,0.07,0.01,-0.01,0.02,0,424,"Caen","Ligue 1","COD","M"
"Jimmy Cabot","2022-2023",28,"Wide Def","Aggressive Wide Defender",0.12,0.03,0.01,0.06,0.03,0,0.01,511,"Lens","Ligue 1","FRA","M"
"Kevin Behrens","2021-2022",30,"Finisher","Progressive Forward",0.12,0.03,0.06,0.02,0,0,0,499,"Union Berlin","Bundesliga","GER","M"
"Ilija Nestorovski","2020-2021",30,"Finisher","Progressive Forward",0.12,0.01,0.09,0.02,-0.01,0,0,701,"Udinese","Serie A M","MKD","M"
"Ander Barrenetxea","2019-2020",17,"Dribbler","Direct Dribbler",0.12,0.05,0.02,0.01,0.02,0,0.02,442,"Real Sociedad","La Liga","ESP","M"
"Aleksandar Kolarov","2020-2021",34,"Deep Midfielder","Playmaking Deep Midfielder",0.12,0,0.01,0.03,0.04,0.05,0,390,"Inter","Serie A M","SRB","M"
"Keinan Davis","2020-2021",22,"Finisher","Mobile Forward",0.12,0.06,0.04,0.01,0.02,0,0,277,"Aston Villa","Premier League","ENG","M"
"Ferrán Torres","2021-2022",21,"Finisher","Mobile Forward",0.12,0.03,0.12,-0.01,0,-0.02,0,303,"Manchester City","Premier League","ESP","M"
"Jeff Reine-Adélaïde","2022-2023",24,"Creator","Central Creator",0.12,0,0.04,0,0.03,0.04,0.01,336,"Lyon","Ligue 1","FRA","M"
"Jules Keita","2018-2019",20,"Dribbler","Direct Dribbler",0.12,0.04,0.08,0.01,0,0.02,-0.01,456,"Dijon","Ligue 1","GUI","M"
"Vladimír Darida","2018-2019",27,"Midfielder","Mobile Midfielder",0.12,0.01,0.06,0,0,0.04,0,376,"Hertha BSC","Bundesliga","CZE","M"
"Giuseppe Rossi","2017-2018",30,"Dribbler","Direct Dribbler",0.12,0.02,0.17,0,-0.03,-0.01,-0.01,260,"Genoa","Serie A M","ITA","M"
"Mohamed Salah","2020-2021",28,"Finisher","Progressive Forward",0.11,0.04,0.04,0.03,0.01,0.01,-0.01,3078,"Liverpool","Premier League","EGY","M"
"Pierre-Emerick Aubameyang","2018-2019",29,"Finisher","Mobile Forward",0.11,0,0.07,0.01,0.02,0.01,0,2726,"Arsenal","Premier League","GAB","M"
"Lautaro Martínez","2019-2020",21,"Finisher","Mobile Forward",0.11,0.04,0.08,-0.01,0,0,0,2452,"Inter","Serie A M","ARG","M"
"Bukayo Saka","2023-2024",21,"Dribbler","Wide Dribbler",0.11,0.04,0.04,0.04,0,-0.01,0,2919,"Arsenal","Premier League","ENG","M"
"Marcus Thuram","2023-2024",25,"Finisher","Mobile Forward",0.11,0.02,0.05,0.01,0.02,0,0,2687,"Inter","Serie A M","FRA","M"
"Lorenzo Insigne","2020-2021",29,"Creator","Wide Creator",0.11,0.02,0.08,0.02,0.02,-0.01,0,2865,"Napoli","Serie A M","ITA","M"
"Giovanni Di Lorenzo","2023-2024",29,"Wide Def","Progressive Wide Defender",0.11,0.03,0.02,0.01,0,0.07,-0.01,3234,"Napoli","Serie A M","ITA","M"
"Nordi Mukiele","2017-2018",19,"Wide Def","Progressive Wide Defender",0.11,0.01,0,0.01,0.02,0.07,0.01,2791,"Montpellier","Ligue 1","FRA","M"
"Xavi Simons","2023-2024",20,"Creator","Central Creator",0.11,0.01,0.04,0.03,0.03,0.02,-0.01,2653,"RB Leipzig","Bundesliga","NED","M"
"Granit Xhaka","2017-2018",24,"Deep Midfielder","Playmaking Deep Midfielder",0.11,0,0.02,0.02,0,0.07,0,3260,"Arsenal","Premier League","SUI","M"
"Lautaro Martínez","2020-2021",22,"Finisher","Mobile Forward",0.11,0.02,0.05,0.01,0.01,0.01,0,2561,"Inter","Serie A M","ARG","M"
"Declan Rice","2023-2024",24,"Deep Midfielder","Playmaking Deep Midfielder",0.11,0.01,0.03,0.02,0.02,0.04,0,3225,"Arsenal","Premier League","ENG","M"
"Roberto Firmino","2017-2018",25,"Finisher","Progressive Forward",0.11,0.02,0.01,0.03,0.02,0.01,0.01,2763,"Liverpool","Premier League","BRA","M"
"Bryan Cristante","2021-2022",26,"Deep Midfielder","Playmaking Deep Midfielder",0.11,0.01,0.02,0.01,0.01,0.06,0,2678,"Roma","Serie A M","ITA","M"
"David Alaba","2019-2020",27,"Central Def","Progressive Central Defender",0.11,0,0,0.02,0.03,0.11,-0.04,2498,"Bayern Munich","Bundesliga","AUT","M"
"Marco Reus","2021-2022",32,"Creator","Two Way Creator",0.11,0.02,0.06,0.02,-0.01,0,0.01,2503,"Dortmund","Bundesliga","GER","M"
"Trent Alexander-Arnold","2020-2021",21,"Wide Def","Progressive Wide Defender",0.11,0.01,0.03,0.04,0,0.06,-0.01,3031,"Liverpool","Premier League","ENG","M"
"Florian Thauvin","2018-2019",25,"Dribbler","Direct Dribbler",0.11,0.02,0.07,0.02,0.01,0,-0.01,2613,"Marseille","Ligue 1","FRA","M"
"Dušan Vlahović","2023-2024",23,"Finisher","Progressive Forward",0.11,0.02,0.11,0,0,0,-0.01,2307,"Juventus","Serie A M","SRB","M"
"Hakan Çalhanoğlu","2021-2022",27,"Midfielder","Creative Midfielder",0.11,0,0.04,0.05,0.01,0.04,-0.01,2480,"Inter","Serie A M","TUR","M"
"Luka Jović","2018-2019",20,"Finisher","Progressive Forward",0.11,0.02,0.1,0,-0.01,0.02,0,2243,"Eint Frankfurt","Bundesliga","SRB","M"
"Antoine Griezmann","2020-2021",29,"Dribbler","Direct Dribbler",0.11,0.04,0.07,0.01,-0.01,0,0,2604,"Barcelona","La Liga","FRA","M"
"Joško Gvardiol","2021-2022",19,"Central Def","Progressive Central Defender",0.11,0.01,0.02,0.02,0.01,0.07,-0.01,2409,"RB Leipzig","Bundesliga","CRO","M"
"Eric García","2023-2024",22,"Central Def","Progressive Central Defender",0.11,0,0.02,0,0.01,0.1,-0.02,2637,"Girona","La Liga","ESP","M"
"Filip Kostić","2018-2019",25,"Wide Def","Aggressive Wide Defender",0.11,0.02,0.05,0.04,0.03,-0.02,-0.01,2956,"Eint Frankfurt","Bundesliga","SRB","M"
"Jonathan Clauss","2022-2023",29,"Wide Def","Aggressive Wide Defender",0.11,0.04,0.05,0.04,0.01,-0.01,-0.01,2590,"Marseille","Ligue 1","FRA","M"
"Youssef En-Nesyri","2020-2021",23,"Finisher","Target Forward",0.11,0.02,0.09,0.01,-0.01,-0.01,0,2311,"Sevilla","La Liga","MAR","M"
"James Maddison","2022-2023",25,"Creator","Wide Creator",0.11,0.01,0.06,0.03,0.01,0.02,-0.01,2480,"Leicester City","Premier League","ENG","M"
"Karim Benzema","2017-2018",29,"Finisher","Progressive Forward",0.11,0.03,0.04,0.04,0.01,0.02,0,2150,"Real Madrid","La Liga","FRA","M"
"Granit Xhaka","2023-2024",30,"Deep Midfielder","Playmaking Deep Midfielder",0.11,0,0.02,0.02,0,0.1,-0.02,2821,"Leverkusen","Bundesliga","SUI","M"
"Enzo Fernández","2023-2024",22,"Midfielder","Creative Midfielder",0.11,0,0.04,0.01,0,0.07,-0.01,2209,"Chelsea","Premier League","ARG","M"
"Luis Alberto","2022-2023",29,"Midfielder","Creative Midfielder",0.11,0,0.02,0.04,0.01,0.06,-0.01,2442,"Lazio","Serie A M","ESP","M"
"Dries Mertens","2018-2019",31,"Finisher","Progressive Forward",0.11,0.02,0.04,0.03,0.01,0.01,-0.01,2252,"Napoli","Serie A M","BEL","M"
"João Cancelo","2023-2024",29,"Wide Def","Aggressive Wide Defender",0.11,0.02,0.02,0.04,0.02,0,0,2503,"Barcelona","La Liga","POR","M"
"Jamal Musiala","2021-2022",18,"Dribbler","Direct Dribbler",0.11,0.02,0,0.01,0.01,0.04,0,1465,"Bayern Munich","Bundesliga","GER","M"
"Lorenzo Pellegrini","2019-2020",23,"Creator","Central Creator",0.11,0.01,0.03,0.05,0.02,0.02,-0.01,2097,"Roma","Serie A M","ITA","M"
"Santi Cazorla","2019-2020",34,"Midfielder","Creative Midfielder",0.11,0.01,0.01,0.03,0.01,0.05,-0.01,2450,"Villarreal","La Liga","ESP","M"
"Alessandro Florenzi","2017-2018",26,"Wide Def","Progressive Wide Defender",0.11,0.02,0.04,0.02,0.02,0.03,0,2387,"Roma","Serie A M","ITA","M"
"Rúben Dias","2021-2022",24,"Central Def","Reactive Central Defender",0.11,0,0.01,0.02,0.02,0.09,-0.02,2402,"Manchester City","Premier League","POR","M"
"Nico Schulz","2018-2019",25,"Wide Def","Aggressive Wide Defender",0.11,0.03,0.02,0.06,0.04,-0.02,-0.02,2537,"Hoffenheim","Bundesliga","GER","M"
"Marko Arnautović","2017-2018",28,"Dribbler","Direct Dribbler",0.11,0.03,0.07,0.01,0,-0.02,0,2313,"West Ham","Premier League","AUT","M"
"İlkay Gündoğan","2022-2023",31,"Midfielder","Mobile Midfielder",0.11,0.02,0.06,0.01,0.01,0.01,-0.02,2353,"Manchester City","Premier League","GER","M"
"Memphis","2021-2022",27,"Dribbler","Wide Dribbler",0.11,0.04,0.08,0.02,0.01,-0.01,-0.02,1851,"Barcelona","La Liga","NED","M"
"Federico Dimarco","2023-2024",25,"Wide Def","Aggressive Wide Defender",0.11,0.02,0.05,0.06,0,-0.01,-0.01,2077,"Inter","Serie A M","ITA","M"
"Yannick Carrasco","2022-2023",28,"Dribbler","Wide Dribbler",0.11,0.03,0.04,0,0.03,0,0,2317,"Atlético Madrid","La Liga","BEL","M"
"Konstantinos Mavropanos","2022-2023",24,"Central Def","Aggressive Central Defender",0.11,0.01,0.05,0,0.01,0.03,0.01,2286,"Stuttgart","Bundesliga","GRE","M"
"Leroy Sané","2018-2019",22,"Dribbler","Direct Dribbler",0.11,0.05,0.05,0.05,0,-0.02,0,1867,"Manchester City","Premier League","GER","M"
"Casemiro","2022-2023",30,"Deep Midfielder","Defensive Deep Midfielder",0.11,0,0.05,0.02,-0.01,0.03,0.03,2124,"Manchester Utd","Premier League","BRA","M"
"Donyell Malen","2023-2024",24,"Dribbler","Direct Dribbler",0.11,0.02,0.09,0,0.01,0,-0.01,1781,"Dortmund","Bundesliga","NED","M"
"Edinson Cavani","2018-2019",31,"Finisher","Target Forward",0.11,0.03,0.07,0.02,0,0,0,1671,"Paris S-G","Ligue 1","URU","M"
"Cody Gakpo","2023-2024",24,"Finisher","Progressive Forward",0.11,0.01,0.05,0.01,0.02,0.03,0,1649,"Liverpool","Premier League","NED","M"
"James Maddison","2023-2024",26,"Creator","Central Creator",0.11,0.02,0.05,0.01,0,0.05,0,2135,"Tottenham","Premier League","ENG","M"
"Kerem Demirbay","2020-2021",27,"Midfielder","Creative Midfielder",0.11,0,0.05,0.02,0.01,0.03,-0.01,1744,"Leverkusen","Bundesliga","GER","M"
"Joshua Kimmich","2023-2024",28,"Deep Midfielder","Playmaking Deep Midfielder",0.11,0,0.01,0.06,0.01,0.05,-0.01,2176,"Bayern Munich","Bundesliga","GER","M"
"Robin Gosens","2018-2019",24,"Wide Def","Aggressive Wide Defender",0.11,0.02,0.03,0.01,0.02,0.01,0.02,1942,"Atalanta","Serie A M","GER","M"
"Alphonso Davies","2021-2022",20,"Wide Def","Aggressive Wide Defender",0.11,0.04,0.03,0.03,0.06,-0.02,-0.01,1740,"Bayern Munich","Bundesliga","CAN","M"
"Aurélien Tchouaméni","2022-2023",22,"Deep Midfielder","Playmaking Deep Midfielder",0.11,0.01,0.02,0.01,0.01,0.06,0.02,2119,"Real Madrid","La Liga","FRA","M"
"İlkay Gündoğan","2018-2019",27,"Midfielder","Creative Midfielder",0.11,0.01,0.05,0.03,0.02,0.02,-0.02,2137,"Manchester City","Premier League","GER","M"
"Eberechi Eze","2023-2024",25,"Creator","Wide Creator",0.11,0.01,0.09,0.01,0.01,-0.01,-0.01,2055,"Crystal Palace","Premier League","ENG","M"
"Reece James","2021-2022",21,"Wide Def","Aggressive Wide Defender",0.11,0.02,0.06,0.04,0,0,-0.02,1864,"Chelsea","Premier League","ENG","M"
"Thiago Silva","2018-2019",33,"Central Def","Progressive Central Defender",0.11,0,0,0.01,0.01,0.1,-0.01,2077,"Paris S-G","Ligue 1","BRA","M"
"Corentin Tolisso","2022-2023",27,"Deep Midfielder","Playmaking Deep Midfielder",0.11,0.01,0.02,0.04,0,0.06,-0.01,2036,"Lyon","Ligue 1","FRA","M"
"Richarlison","2023-2024",26,"Finisher","Target Forward",0.11,0.03,0.08,0,-0.01,0,0.01,1491,"Tottenham","Premier League","BRA","M"
"Ademola Lookman","2022-2023",24,"Dribbler","Direct Dribbler",0.11,0.02,0.07,0.04,-0.01,0,-0.01,1729,"Atalanta","Serie A M","NGA","M"
"Ivan Perišić","2020-2021",31,"Wide Def","Aggressive Wide Defender",0.11,0.04,0.07,0.03,0.01,-0.04,-0.01,1795,"Inter","Serie A M","CRO","M"
"Luka Modrić","2023-2024",37,"Midfielder","Creative Midfielder",0.11,0.01,0,0.04,0.01,0.07,-0.01,1688,"Real Madrid","La Liga","CRO","M"
"Arjen Robben","2017-2018",33,"Dribbler","Wide Dribbler",0.11,0.01,0.03,0.03,0.03,0.03,-0.02,1507,"Bayern Munich","Bundesliga","NED","M"
"Ezequiel Ávila","2019-2020",25,"Finisher","Progressive Forward",0.11,0,0.08,0.02,0,0.01,0,1591,"Osasuna","La Liga","ARG","M"
"Yacine Adli","2023-2024",23,"Deep Midfielder","Playmaking Deep Midfielder",0.11,0,-0.01,0.02,0.02,0.09,-0.01,1407,"Milan","Serie A M","FRA","M"
"Kingsley Coman","2021-2022",25,"Dribbler","Wide Dribbler",0.11,0.04,0.03,0.02,0.03,-0.01,0,1359,"Bayern Munich","Bundesliga","FRA","M"
